area_fips,industry_code,qrtly_emplvl
53001,11,8412
53001,23,419
53001,31-33,3327
53001,44-45,2189
53001,48-49,1229
53001,51,28
53001,52,245
53001,53,122
53001,54,212
53001,56,263
53001,71,66
53001,72,1190
53001,81,283
53003,23,1661
53003,31-33,1286
53003,44-45,3265
53003,51,118
53003,52,408
53003,53,84
53003,54,496
53003,71,296
53003,72,2041
53003,81,423
53005,22,450
53005,23,22703
53005,31-33,13830
53005,42,4347
53005,44-45,30069
53005,48-49,3507
53005,51,1974
53005,52,6246
53005,53,3483
53005,54,26648
53005,55,1582
53005,56,32079
53005,61,1364
53005,62,41216
53005,71,4228
53005,72,24077
53005,81,6005
53007,22,66
53007,23,5881
53007,31-33,5691
53007,42,6714
53007,44-45,13066
53007,48-49,1438
53007,51,1105
53007,52,2151
53007,53,1936
53007,54,2943
53007,55,101
53007,56,3585
53007,61,508
53007,62,19642
53007,71,1712
53007,72,14321
53007,81,2584
53009,11,1963
53009,21,40
53009,22,49
53009,23,3903
53009,31-33,3355
53009,42,795
53009,44-45,10444
53009,48-49,1280
53009,51,412
53009,52,1067
53009,53,612
53009,56,1820
53009,61,215
53009,62,8451
53009,71,606
53009,72,7502
53009,81,2538
53011,23,44871
53011,31-33,41677
53011,42,20061
53011,44-45,56134
53011,51,9572
53011,52,16593
53011,53,8898
53011,54,25089
53011,55,10825
53011,56,24050
53011,61,3990
53011,62,75860
53011,71,6672
53011,72,41762
53011,81,15733
53013,22,63
53013,23,689
53013,31-33,426
53013,42,40
53013,44-45,264
53013,48-49,93
53013,51,61
53013,52,57
53013,53,27
53013,81,82
53015,22,205
53015,23,8440
53015,31-33,19663
53015,42,4507
53015,44-45,14277
53015,48-49,4280
53015,51,728
53015,52,2538
53015,53,1330
53015,54,2651
53015,55,237
53015,56,4220
53015,61,718
53015,62,18700
53015,71,577
53015,72,9867
53015,81,3102
53017,11,8352
53017,23,2205
53017,31-33,1795
53017,42,1727
53017,44-45,5514
53017,48-49,876
53017,51,550
53017,52,398
53017,53,469
53017,56,1093
53017,61,98
53017,62,2463
53017,71,819
53017,72,2997
53017,81,432
53021,23,6985
53021,31-33,11353
53021,42,5291
53021,44-45,10192
53021,51,369
53021,52,922
53021,53,1065
53021,54,1521
53021,56,2950
53021,61,1296
53021,62,9205
53021,71,1168
53021,72,6223
53021,81,2066
53023,42,223
53023,44-45,123
53023,52,40
53025,22,41
53025,23,4501
53025,31-33,13345
53025,42,4435
53025,44-45,10294
53025,48-49,3525
53025,51,1532
53025,52,1420
53025,53,945
53025,54,2408
53025,55,99
53025,56,4107
53025,61,451
53025,62,8437
53025,71,802
53025,72,7378
53025,81,1396
53027,23,3394
53027,31-33,7630
53027,44-45,7681
53027,48-49,1720
53027,51,298
53027,52,1335
53027,53,620
53027,54,1552
53027,55,155
53027,56,2446
53027,61,39
53027,62,8943
53027,71,675
53027,72,6975
53027,81,2099
53029,22,152
53029,23,3559
53029,31-33,2395
53029,42,572
53029,44-45,6205
53029,48-49,984
53029,51,512
53029,52,802
53029,53,1007
53029,54,2071
53029,61,1051
53029,62,5661
53029,71,1079
53029,72,6399
53029,81,2091
53031,22,89
53031,23,2164
53031,31-33,2155
53031,42,602
53031,44-45,3325
53031,48-49,212
53031,51,338
53031,52,402
53031,53,414
53031,54,884
53031,56,748
53031,61,520
53031,62,2405
53031,71,301
53031,72,3077
53031,81,1350
53033,11,7952
53033,21,1244
53033,22,5813
53033,23,226711
53033,31-33,315030
53033,42,188971
53033,44-45,499834
53033,48-49,156542
53033,51,373581
53033,52,126708
53033,53,88850
53033,54,399492
53033,55,94516
53033,56,223083
53033,61,73614
53033,62,476480
53033,71,79193
53033,72,350659
53033,81,144458
53035,22,449
53035,23,14188
53035,31-33,8807
53035,42,4294
53035,44-45,33647
53035,48-49,3359
53035,51,2237
53035,52,5135
53035,53,3275
53035,54,14214
53035,55,1080
53035,56,9936
53035,61,2104
53035,62,36980
53035,71,4005
53035,72,25034
53035,81,7231
53037,22,122
53037,23,3259
53037,31-33,1817
53037,42,1953
53037,44-45,5527
53037,48-49,579
53037,51,611
53037,52,663
53037,53,568
53037,56,1081
53037,61,308
53037,62,4233
53037,71,336
53037,72,7847
53037,81,962
53039,22,163
53039,23,843
53039,31-33,4620
53039,42,435
53039,44-45,1192
53039,48-49,369
53039,51,138
53039,52,226
53039,53,124
53039,56,877
53039,61,15
53039,62,1048
53039,71,119
53039,72,902
53039,81,949
53041,11,3633
53041,21,433
53041,22,709
53041,23,4022
53041,31-33,10066
53041,42,3033
53041,44-45,10856
53041,48-49,3897
53041,51,565
53041,52,1004
53041,53,914
53041,54,1418
53041,55,190
53041,56,2727
53041,61,470
53041,62,11729
53041,71,974
53041,72,7458
53041,81,1384
53043,23,774
53043,31-33,129
53043,42,623
53043,44-45,573
53043,51,43
53043,54,298
53043,56,115
53043,71,80
53043,72,245
53043,81,79
53045,22,69
53045,23,2040
53045,31-33,2338
53045,42,3192
53045,44-45,5910
53045,48-49,630
53045,51,257
53045,52,853
53045,53,261
53045,54,904
53045,61,95
53045,62,3627
53045,71,409
53045,72,3454
53045,81,1094
53047,22,124
53047,23,1437
53047,31-33,830
53047,42,522
53047,44-45,5522
53047,48-49,1146
53047,51,371
53047,52,515
53047,53,335
53047,54,645
53047,61,179
53047,62,4918
53047,71,477
53047,72,3353
53047,81,648
53049,11,2154
53049,21,84
53049,23,871
53049,31-33,1809
53049,42,213
53049,44-45,1825
53049,51,132
53049,52,404
53049,53,163
53049,56,459
53049,71,206
53049,72,2737
53049,81,465
53051,23,406
53051,31-33,727
53051,42,57
53051,44-45,706
53051,48-49,51
53051,51,125
53051,52,100
53051,53,104
53051,54,144
53051,56,51
53051,81,167
53053,11,3008
53053,21,546
53053,22,1916
53053,23,72603
53053,31-33,52807
53053,42,39099
53053,44-45,108437
53053,48-49,54590
53053,51,6495
53053,52,25076
53053,53,15908
53053,54,31437
53053,55,2474
53053,56,67857
53053,61,14574
53053,62,153035
53053,71,14771
53053,72,85375
53053,81,33609
53057,11,7443
53057,21,118
53057,22,677
53057,23,13398
53057,31-33,17395
53057,42,3641
53057,44-45,21276
53057,48-49,3805
53057,51,1003
53057,52,4642
53057,53,1474
53057,54,5189
53057,55,289
53057,56,5097
53057,61,1221
53057,62,15546
53057,71,1562
53057,72,13520
53057,81,4904
53059,23,247
53059,31-33,893
53059,42,81
53059,44-45,406
53059,52,48
53059,53,51
53059,56,79
53059,71,59
53059,72,1537
53061,11,4725
53061,21,548
53061,22,351
53061,23,72510
53061,31-33,181570
53061,42,27194
53061,44-45,106976
53061,48-49,14446
53061,51,12623
53061,52,28694
53061,53,9819
53061,54,40091
53061,55,4366
53061,56,44478
53061,61,6370
53061,62,102666
53061,71,11224
53061,72,69380
53061,81,22195
53063,11,5495
53063,21,702
53063,22,998
53063,23,39048
53063,31-33,49140
53063,42,31266
53063,44-45,81761
53063,48-49,18992
53063,51,9836
53063,52,29406
53063,53,11446
53063,54,32095
53063,55,9972
53063,56,34985
53063,61,12621
53063,62,129240
53063,71,8845
53063,72,60484
53063,81,18376
53065,11,1353
53065,21,195
53065,23,1500
53065,31-33,3350
53065,44-45,3517
53065,48-49,1017
53065,51,180
53065,52,548
53065,53,214
53065,56,690
53065,61,108
53065,62,5852
53065,71,420
53065,72,1767
53065,81,677
53067,11,6173
53067,21,24
53067,22,582
53067,23,18818
53067,31-33,9119
53067,42,9280
53067,44-45,39404
53067,48-49,8216
53067,51,5240
53067,52,7598
53067,53,3501
53067,54,14477
53067,55,2876
53067,56,18467
53067,61,6013
53067,62,47553
53067,71,4907
53067,72,27843
53067,81,11881
53069,11,389
53069,23,129
53069,31-33,187
53069,44-45,138
53069,51,55
53069,54,55
53069,56,73
53069,72,99
53069,81,21
53071,22,389
53071,23,2651
53071,31-33,12487
53071,42,1906
53071,44-45,6899
53071,48-49,1557
53071,51,824
53071,52,1854
53071,53,706
53071,56,1486
53071,61,2997
53071,62,12910
53071,71,1261
53071,72,5780
53071,81,1374
53073,22,446
53073,23,21019
53073,31-33,31481
53073,42,7985
53073,44-45,33093
53073,48-49,7229
53073,51,3682
53073,52,6970
53073,53,3865
53073,54,10061
53073,55,1233
53073,56,13363
53073,61,2956
53073,62,36514
53073,71,4058
53073,72,27430
53073,81,9526
53075,23,1130
53075,31-33,8568
53075,42,1387
53075,44-45,3888
53075,51,318
53075,52,456
53075,53,932
53075,54,1313
53075,61,169
53075,62,4838
53075,71,336
53075,72,5828
53075,81,849
53077,11,88870
53077,21,108
53077,22,465
53077,23,11673
53077,31-33,25565
53077,42,13249
53077,44-45,32749
53077,48-49,10693
53077,51,1966
53077,52,4526
53077,53,2512
53077,54,4621
53077,55,1983
53077,56,6019
53077,61,3500
53077,62,50716
53077,71,3668
53077,72,20724
53077,81,5368
53999,42,12162
53999,44-45,2705
53999,54,6079
53999,56,10153
53999,62,3465
53999,72,792
53999,81,982
